"","ID","task","profile","Affiliation.of.the.terrorist","Legal.status.of.the.terrorist","Terrorist.tactic","Motivation.for.the.terrorist.attack","Number.of.deaths","Probability.of.the.attack","selected","progress","finished","durationinseconds"
"26378",2638,1,2,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","1","0.1%",0,100,1,254
"26379",2638,5,1,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","10","0.1%",0,100,1,254
"26380",2638,3,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","100","1%",0,100,1,254
"26381",2639,4,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","10","0.1%",0,100,1,212
"26382",2639,1,1,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","10","10%",1,100,1,212
"26383",2639,5,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","1","10%",0,100,1,212
"26384",2639,3,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","10","1%",1,100,1,212
"26385",2639,4,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","100","10%",1,100,1,212
"26386",2639,2,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","1","10%",1,100,1,212
"26387",2639,2,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","1","1%",0,100,1,212
"26388",2639,1,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,212
"26389",2639,3,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","100","0.1%",0,100,1,212
"26390",2639,5,1,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","10","10%",1,100,1,212
"26391",2640,4,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","10","10%",1,100,1,231
"26392",2640,1,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","0.1%",0,100,1,231
"26393",2640,2,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","100","1%",1,100,1,231
"26394",2640,4,1,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","10","0.1%",0,100,1,231
"26395",2640,2,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","10","0.1%",0,100,1,231
"26396",2640,5,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","1","1%",0,100,1,231
"26397",2640,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","1","1%",1,100,1,231
"26398",2640,5,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","10","10%",1,100,1,231
"26399",2640,3,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","10","1%",1,100,1,231
"26400",2640,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","1","1%",0,100,1,231
"26401",2641,2,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","100","0.1%",0,100,1,119
"26402",2641,3,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","100","10%",0,100,1,119
"26403",2641,4,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","0.1%",0,100,1,119
"26404",2641,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","100","1%",1,100,1,119
"26405",2641,1,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","1","10%",1,100,1,119
"26406",2641,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","10","10%",1,100,1,119
"26407",2641,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","1","0.1%",0,100,1,119
"26408",2641,2,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","1","10%",1,100,1,119
"26409",2641,1,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","10","0.1%",0,100,1,119
"26410",2641,3,1,"Lone actor - operating alone","Citizen","Stabbing","Jihadism","1","1%",1,100,1,119
"26411",2642,5,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","10","1%",0,100,1,728
"26412",2642,3,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","10","1%",0,100,1,728
"26413",2642,4,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","100","0.1%",1,100,1,728
"26414",2642,1,2,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","10","1%",0,100,1,728
"26415",2642,1,1,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","100","10%",1,100,1,728
"26416",2642,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","100","0.1%",1,100,1,728
"26417",2642,4,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","10","1%",0,100,1,728
"26418",2642,2,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","100","10%",1,100,1,728
"26419",2642,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","100","0.1%",0,100,1,728
"26420",2642,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","10","0.1%",1,100,1,728
"26421",2643,2,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","10","10%",0,100,1,310
"26422",2643,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","10","0.1%",0,100,1,310
"26423",2643,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","10","10%",0,100,1,310
"26424",2643,3,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","10","1%",1,100,1,310
"26425",2643,3,1,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","10","10%",0,100,1,310
"26426",2643,2,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","10","1%",1,100,1,310
"26427",2643,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","1","0.1%",1,100,1,310
"26428",2643,5,1,"Lone actor - operating alone","Citizen","Shooting","Jihadism","1","1%",0,100,1,310
"26429",2643,4,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","1","10%",1,100,1,310
"26430",2643,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","100","0.1%",1,100,1,310
"26431",2644,5,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","1","10%",1,100,1,327
"26432",2644,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","1","0.1%",0,100,1,327
"26433",2644,1,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","100","0.1%",1,100,1,327
"26434",2644,3,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","100","10%",1,100,1,327
"26435",2644,2,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","1%",0,100,1,327
"26436",2644,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","10%",1,100,1,327
"26437",2644,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","100","10%",1,100,1,327
"26438",2644,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","100","0.1%",0,100,1,327
"26439",2644,1,1,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","10","1%",0,100,1,327
"26440",2644,4,2,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","1","1%",0,100,1,327
"26441",2645,1,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","100","1%",1,100,1,475
"26442",2645,1,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","100","1%",0,100,1,475
"26443",2645,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","100","1%",1,100,1,475
"26444",2645,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","1","10%",0,100,1,475
"26445",2645,5,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","1","1%",1,100,1,475
"26446",2645,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","10","10%",1,100,1,475
"26447",2645,4,2,"Lone actor - operating alone","Citizen","Stabbing","Jihadism","10","1%",0,100,1,475
"26448",2645,5,1,"Lone actor - operating alone","Immigrant","Stabbing","Right-wing extremism","10","10%",0,100,1,475
"26449",2645,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,475
"26450",2645,3,1,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Right-wing extremism","10","10%",1,100,1,475
"26451",2646,5,1,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","10","0.1%",0,100,1,184
"26452",2646,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","1%",0,100,1,184
"26453",2646,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","1","10%",1,100,1,184
"26454",2646,3,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","1","10%",0,100,1,184
"26455",2646,2,2,"Lone actor - operating alone","Citizen","Stabbing","Jihadism","10","0.1%",0,100,1,184
"26456",2646,4,2,"Lone actor - operating alone","Immigrant","Stabbing","Right-wing extremism","10","1%",1,100,1,184
"26457",2646,1,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","100","1%",0,100,1,184
"26458",2646,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","100","1%",1,100,1,184
"26459",2646,2,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","10","1%",1,100,1,184
"26460",2646,1,2,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","1","10%",1,100,1,184
"26461",2647,3,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","1","1%",0,100,1,386
"26462",2647,5,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","10","10%",1,100,1,386
"26463",2647,5,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","10","1%",0,100,1,386
"26464",2647,2,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","100","0.1%",1,100,1,386
"26465",2647,2,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","10","0.1%",0,100,1,386
"26466",2647,1,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","1","1%",0,100,1,386
"26467",2647,4,1,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","10","10%",0,100,1,386
"26468",2647,1,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Right-wing extremism","1","10%",1,100,1,386
"26469",2647,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","100","1%",1,100,1,386
"26470",2647,3,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","100","10%",1,100,1,386
"26471",2648,3,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","1","0.1%",NA,24,0,20
"26472",2648,2,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","10","1%",NA,24,0,20
"26473",2648,1,1,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","100","1%",NA,24,0,20
"26474",2648,1,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","100","0.1%",NA,24,0,20
"26475",2648,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","100","0.1%",NA,24,0,20
"26476",2648,4,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","1","1%",NA,24,0,20
"26477",2648,2,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","1","10%",NA,24,0,20
"26478",2648,4,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","100","1%",NA,24,0,20
"26479",2648,5,2,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Jihadism","10","1%",NA,24,0,20
"26480",2648,3,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","100","0.1%",NA,24,0,20
"26481",2649,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","1","10%",1,100,1,249
"26482",2649,2,1,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","10","10%",1,100,1,249
"26483",2649,1,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","1","10%",1,100,1,249
"26484",2649,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","100","0.1%",0,100,1,249
"26485",2649,3,1,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Right-wing extremism","10","0.1%",0,100,1,249
"26486",2649,3,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","1","10%",1,100,1,249
"26487",2649,5,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","1","0.1%",0,100,1,249
"26488",2649,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","1%",0,100,1,249
"26489",2649,4,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","100","0.1%",0,100,1,249
"26490",2649,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","1","0.1%",1,100,1,249
"26491",2650,5,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","100","0.1%",0,100,1,309
"26492",2650,3,2,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","1","10%",0,100,1,309
"26493",2650,1,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","10","1%",1,100,1,309
"26494",2650,1,2,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","10","1%",0,100,1,309
"26495",2650,4,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","10","0.1%",0,100,1,309
"26496",2650,2,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","100","0.1%",1,100,1,309
"26497",2650,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","10","0.1%",1,100,1,309
"26498",2650,3,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","10","1%",1,100,1,309
"26499",2650,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","10","10%",1,100,1,309
"26500",2650,2,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","1","0.1%",0,100,1,309
"26501",2651,5,1,"Lone actor - operating alone","Citizen","Shooting","Jihadism","100","10%",1,100,1,909
"26502",2651,3,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","10","0.1%",1,100,1,909
"26503",2651,4,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","100","10%",1,100,1,909
"26504",2651,2,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","10","10%",1,100,1,909
"26505",2651,1,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","1","10%",1,100,1,909
"26506",2651,1,2,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Right-wing extremism","10","0.1%",0,100,1,909
"26507",2651,3,2,"Lone actor - operating alone","Citizen","Stabbing","Jihadism","1","0.1%",0,100,1,909
"26508",2651,5,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","0.1%",0,100,1,909
"26509",2651,2,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","10","0.1%",0,100,1,909
"26510",2651,4,2,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","100","10%",0,100,1,909
"26511",2652,1,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","1","1%",1,100,1,179
"26512",2652,5,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","10","1%",0,100,1,179
"26513",2652,2,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","10","1%",0,100,1,179
"26514",2652,3,2,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","1","0.1%",0,100,1,179
"26515",2652,1,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","100","10%",0,100,1,179
"26516",2652,2,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","100","1%",1,100,1,179
"26517",2652,4,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","1","10%",1,100,1,179
"26518",2652,4,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","100","1%",0,100,1,179
"26519",2652,5,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","10","0.1%",1,100,1,179
"26520",2652,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","1","1%",1,100,1,179
"26521",2653,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","10","10%",1,100,1,171
"26522",2653,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","1","1%",0,100,1,171
"26523",2653,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","10","0.1%",0,100,1,171
"26524",2653,2,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","1","10%",1,100,1,171
"26525",2653,4,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","100","10%",1,100,1,171
"26526",2653,1,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","10","10%",0,100,1,171
"26527",2653,5,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","1","10%",0,100,1,171
"26528",2653,2,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","100","0.1%",0,100,1,171
"26529",2653,1,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","100","10%",1,100,1,171
"26530",2653,5,1,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","10","10%",1,100,1,171
"26531",2654,4,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","1","1%",0,100,1,151
"26532",2654,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","100","0.1%",1,100,1,151
"26533",2654,1,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","10","10%",1,100,1,151
"26534",2654,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","100","10%",1,100,1,151
"26535",2654,5,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","100","10%",1,100,1,151
"26536",2654,2,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","1","0.1%",0,100,1,151
"26537",2654,3,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","10","0.1%",0,100,1,151
"26538",2654,1,1,"Lone actor - operating alone","Citizen","Shooting","Jihadism","10","0.1%",0,100,1,151
"26539",2654,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","100","1%",1,100,1,151
"26540",2654,5,2,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","1","1%",0,100,1,151
"26541",2655,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","10","10%",1,100,1,191
"26542",2655,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","10","0.1%",1,100,1,191
"26543",2655,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","10","0.1%",0,100,1,191
"26544",2655,2,1,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","1","0.1%",0,100,1,191
"26545",2655,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","10","1%",1,100,1,191
"26546",2655,4,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","1","10%",1,100,1,191
"26547",2655,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","10","0.1%",0,100,1,191
"26548",2655,2,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","100","1%",1,100,1,191
"26549",2655,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","10","0.1%",0,100,1,191
"26550",2655,5,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","10","1%",0,100,1,191
"26551",2656,5,1,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","10","0.1%",1,100,1,272
"26552",2656,3,2,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","1","1%",0,100,1,272
"26553",2656,4,1,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","10","1%",1,100,1,272
"26554",2656,5,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","100","1%",0,100,1,272
"26555",2656,1,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","100","0.1%",0,100,1,272
"26556",2656,1,2,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","10","0.1%",1,100,1,272
"26557",2656,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","10","0.1%",0,100,1,272
"26558",2656,2,1,"Lone actor - operating alone","Citizen","Shooting","Jihadism","1","1%",0,100,1,272
"26559",2656,3,1,"Lone actor - operating alone","Immigrant","Stabbing","Right-wing extremism","10","0.1%",1,100,1,272
"26560",2656,2,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","1","10%",1,100,1,272
"26561",2657,4,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","1","1%",0,100,1,185
"26562",2657,4,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","100","0.1%",1,100,1,185
"26563",2657,5,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","100","1%",1,100,1,185
"26564",2657,3,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","100","10%",1,100,1,185
"26565",2657,2,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","100","0.1%",0,100,1,185
"26566",2657,2,2,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","100","10%",1,100,1,185
"26567",2657,5,1,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","1","1%",0,100,1,185
"26568",2657,1,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","10","1%",0,100,1,185
"26569",2657,3,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","100","1%",0,100,1,185
"26570",2657,1,1,"Lone actor - operating alone","Citizen","Shooting","Jihadism","10","0.1%",1,100,1,185
"26571",2658,4,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","10","0.1%",0,100,1,152
"26572",2658,5,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","1","10%",0,100,1,152
"26573",2658,3,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","100","1%",1,100,1,152
"26574",2658,2,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","1","10%",1,100,1,152
"26575",2658,5,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","1","10%",1,100,1,152
"26576",2658,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","100","0.1%",1,100,1,152
"26577",2658,4,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","100","10%",1,100,1,152
"26578",2658,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","1","0.1%",0,100,1,152
"26579",2658,3,2,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","1","10%",0,100,1,152
"26580",2658,1,2,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","1","1%",0,100,1,152
"26581",2659,5,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","100","1%",1,100,1,223
"26582",2659,3,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","1","0.1%",0,100,1,223
"26583",2659,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","1","10%",1,100,1,223
"26584",2659,5,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","1","1%",0,100,1,223
"26585",2659,1,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","1","0.1%",0,100,1,223
"26586",2659,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","10","0.1%",1,100,1,223
"26587",2659,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","100","0.1%",0,100,1,223
"26588",2659,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","10","1%",1,100,1,223
"26589",2659,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","100","0.1%",1,100,1,223
"26590",2659,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","10","1%",0,100,1,223
"26591",2660,1,1,"Lone actor - operating alone","Citizen","Stabbing","Jihadism","10","1%",1,100,1,687
"26592",2660,4,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","1","1%",0,100,1,687
"26593",2660,2,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","10","0.1%",1,100,1,687
"26594",2660,3,1,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Right-wing extremism","10","1%",0,100,1,687
"26595",2660,1,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Right-wing extremism","1","10%",0,100,1,687
"26596",2660,5,2,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Right-wing extremism","1","0.1%",0,100,1,687
"26597",2660,2,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","10%",0,100,1,687
"26598",2660,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","1","0.1%",1,100,1,687
"26599",2660,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","10","10%",1,100,1,687
"26600",2660,3,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","10","10%",1,100,1,687
"26601",2661,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","10","10%",1,100,1,140
"26602",2661,1,2,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","10","1%",0,100,1,140
"26603",2661,5,1,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","100","10%",1,100,1,140
"26604",2661,2,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","100","10%",1,100,1,140
