treatment,treatment_binary,fire_judges,disobey_justice_2,overthrow_institutions,power_institutions,anti_democratic_index,strong_leader,check_corruption,angry,scared,optimistic,nervous,male,age,socioeconomic_level,political_interest,pres_approval,region,morena,nonpartisan,otherpartisan
Control,0,1,1,2,1,1.25,2,10,4,5,1,5,1,44,3,1,1,1,0,1,0
Trash-talking,1,5,5,5,5,5,5,10,5,3,1,3,0,33,5,4,3,5,0,1,0
Control,0,2,1,2,2,1.75,1,5,1,2,3,2,1,53,6,1,3,5,0,0,1
Trash-talking,1,3,3,3,3,3,5,7,1,1,5,4,0,44,5,3,5,6,1,0,0
Control,0,5,3,3,4,3.75,5,4,3,4,2,3,0,21,5,2,5,3,0,0,1
Control,0,2,1,3,1,1.75,2,10,3,3,1,3,0,44,5,1,1,3,0,1,0
Control,0,1,3,1,4,2.25,2,6,3,1,3,3,1,38,5,1,5,4,1,0,0
Trash-talking,1,1,3,3,5,3,3,10,5,5,2,5,0,32,5,1,3,1,0,1,0
Trash-talking,1,5,5,4,5,4.75,1,10,1,1,4,1,0,31,5,2,4,6,1,0,0
Control,0,3,3,4,4,3.5,3,10,3,3,1,3,0,31,2,2,2,3,0,1,0
Trash-talking,1,3,3,5,5,4,3,10,4,3,5,1,1,37,6,3,5,6,1,0,0
Control,0,2,4,2,4,3,2,8,1,1,4,2,0,28,6,3,5,6,1,0,0
Control,0,1,2,2,1,1.5,2,5,4,4,2,4,1,66,4,3,1,3,0,0,1
Control,0,1,3,5,1,2.5,3,10,3,4,1,4,1,30,2,2,1,3,0,1,0
Trash-talking,1,5,1,5,5,4,5,10,4,2,1,1,0,35,6,1,3,5,0,1,0
Control,0,1,1,3,1,1.5,3,10,5,4,3,4,1,33,4,2,3,4,0,0,1
Control,0,4,2,4,3,3.25,3,5,2,2,3,3,1,46,6,2,4,4,1,0,0
Trash-talking,1,3,5,3,5,4,5,10,4,3,3,3,1,48,2,2,5,2,1,0,0
Trash-talking,1,2,4,5,2,3.25,5,10,5,1,4,1,0,27,6,4,5,5,1,0,0
Control,0,2,4,4,4,3.5,4,7,4,1,3,1,0,21,6,3,5,6,1,0,0
Trash-talking,1,3,2,4,4,3.25,4,8,3,3,4,2,1,24,3,2,4,2,0,0,0
Control,0,2,2,5,2,2.75,2,10,1,1,1,1,0,31,1,2,1,2,0,1,0
Trash-talking,1,1,2,2,1,1.5,2,10,1,1,1,2,0,51,2,3,1,3,0,0,1
Trash-talking,1,1,1,1,1,1,1,3,2,3,1,3,1,43,1,3,1,4,0,0,1
Control,0,2,2,2,1,1.75,2,4,2,1,3,2,1,57,3,4,2,2,0,1,0
Control,0,1,5,4,1,2.75,3,8,1,2,4,2,1,42,2,3,1,2,0,1,0
Control,0,3,3,3,3,3,5,5,1,1,2,2,0,42,3,3,2,1,0,0,0
Trash-talking,1,4,5,4,3,4,3,10,2,1,1,1,0,28,5,2,5,2,1,0,0
Trash-talking,1,4,4,4,4,4,3,9,4,2,1,1,0,18,2,2,4,4,1,0,0
Control,0,2,2,3,2,2.25,4,7,2,1,1,1,0,23,2,2,1,5,0,0,1
Control,0,2,3,4,5,3.5,4,5,1,1,4,2,0,44,5,3,4,2,1,0,0
Trash-talking,1,1,1,1,1,1,1,5,5,5,1,5,1,60,1,4,1,2,0,1,0
Control,0,2,3,3,3,2.75,3,8,2,1,3,1,0,23,3,3,4,3,0,1,0
Trash-talking,1,1,1,1,1,1,2,10,1,1,5,1,0,45,3,4,2,3,0,0,1
Trash-talking,1,3,3,3,3,3,3,4,3,1,4,1,0,33,3,3,5,2,1,0,0
Trash-talking,1,3,3,4,3,3.25,3,3,1,1,3,1,0,46,4,1,3,3,0,1,0
Control,0,4,3,4,3,3.5,4,10,1,1,4,1,0,60,6,1,4,2,1,0,0
Control,0,5,1,3,5,3.5,5,7,1,1,5,1,1,32,2,4,5,1,1,0,0
Trash-talking,1,1,5,1,1,2,1,5,4,4,2,5,0,54,5,2,1,5,0,0,1
Trash-talking,1,3,1,4,5,3.25,2,7,3,1,2,2,0,45,4,3,4,3,1,0,0
Control,0,4,5,4,3,4,4,10,5,5,1,2,1,53,5,4,5,4,1,0,0
Trash-talking,1,5,4,5,5,4.75,5,10,4,1,3,3,0,49,6,4,5,5,1,0,0
Control,0,5,1,3,5,3.5,4,10,4,4,2,3,1,63,3,4,5,6,1,0,0
Trash-talking,1,3,3,2,3,2.75,3,7,4,1,2,3,0,51,4,3,4,2,0,0,1
Control,0,2,4,4,2,3,4,9,1,1,4,1,1,27,3,2,2,4,0,1,0
Trash-talking,1,2,3,2,2,2.25,2,9,4,2,2,3,0,46,3,1,3,2,0,0,1
Control,0,2,3,2,2,2.25,2,5,2,1,1,1,0,39,2,4,2,4,0,1,0
Control,0,2,3,3,2,2.5,4,6,1,1,3,2,0,24,3,3,4,2,0,1,0
Trash-talking,1,3,5,5,5,4.5,3,10,5,3,1,3,1,34,3,3,5,5,1,0,0
Control,0,3,3,4,3,3.25,3,8,2,2,1,2,0,39,5,1,3,6,0,1,0
Control,0,2,2,4,2,2.5,3,7,2,3,3,2,0,22,5,3,4,6,1,0,0
Control,0,4,2,3,3,3,4,8,1,2,3,2,1,23,3,3,5,4,1,0,0
Trash-talking,1,4,3,4,5,4,4,5,4,4,3,2,1,19,6,3,2,5,0,0,0
Trash-talking,1,2,3,4,5,3.5,5,10,4,3,3,2,0,23,5,1,3,2,0,1,0
Control,0,1,1,1,1,1,1,8,1,1,2,1,1,65,3,4,2,4,0,1,0
Control,0,3,3,3,3,3,3,6,2,1,3,2,0,30,5,2,4,2,1,0,0
Trash-talking,1,5,1,5,5,4,5,10,5,2,4,3,1,30,5,3,3,1,0,1,0
Control,0,3,3,3,3,3,3,5,3,3,3,3,1,27,2,4,4,2,1,0,0
Trash-talking,1,2,3,4,1,2.5,3,10,4,3,1,1,1,30,1,3,2,2,0,0,0
Control,0,2,2,2,2,2,2,10,2,3,3,2,1,70,4,4,1,4,0,0,1
Control,0,1,4,1,1,1.75,3,9,5,5,2,4,1,32,6,2,2,5,0,1,0
Control,0,2,3,3,2,2.5,2,8,1,1,3,2,0,21,5,1,3,5,0,1,0
Trash-talking,1,2,3,2,2,2.25,4,9,4,4,3,4,0,31,5,3,2,3,0,0,1
Control,0,2,3,4,2,2.75,3,9,4,3,4,2,0,25,3,3,5,6,1,0,0
Trash-talking,1,5,5,5,4,4.75,3,10,3,3,3,3,0,33,5,2,3,6,0,1,0
Control,0,2,1,2,2,1.75,3,9,4,5,4,5,1,43,1,4,5,2,1,0,0
Control,0,3,4,5,2,3.5,1,10,1,1,1,1,1,59,4,4,5,3,1,0,0
Control,0,2,4,2,2,2.5,2,8,1,1,4,1,1,67,4,3,5,6,0,1,0
Trash-talking,1,4,4,5,5,4.5,3,10,4,1,3,3,0,24,4,3,5,6,1,0,0
Control,0,5,1,5,5,4,3,10,4,1,5,3,0,31,5,2,1,4,0,1,0
Trash-talking,1,3,4,3,3,3.25,4,5,1,1,3,1,0,47,3,2,5,2,0,1,0
Trash-talking,1,4,5,3,3,3.75,3,4,2,1,1,1,1,39,3,1,4,1,0,1,0
Trash-talking,1,3,3,4,3,3.25,3,10,4,1,4,1,0,58,5,2,3,1,1,0,0
Trash-talking,1,1,1,3,2,1.75,4,7,3,2,2,1,1,55,3,3,2,1,0,1,0
Trash-talking,1,3,4,3,3,3.25,4,10,2,2,4,1,0,36,2,2,4,2,1,0,0
Control,0,3,4,5,5,4.25,3,10,4,1,2,1,0,66,1,4,4,6,1,0,0
Trash-talking,1,2,2,2,3,2.25,3,1,4,3,2,1,0,32,6,3,4,1,1,0,0
Control,0,2,2,2,2,2,2,10,3,3,3,3,0,46,5,2,4,5,1,0,0
Control,0,5,1,5,5,4,5,10,1,1,5,1,0,32,5,4,5,5,1,0,0
Trash-talking,1,3,4,4,3,3.5,3,10,3,5,4,2,1,38,6,1,3,2,1,0,0
Trash-talking,1,2,5,2,2,2.75,3,7,3,3,3,3,1,26,5,2,4,5,0,0,0
Trash-talking,1,3,2,2,2,2.25,2,8,3,3,4,4,0,21,5,3,4,4,1,0,0
Control,0,1,2,4,3,2.5,3,10,4,3,3,3,0,28,1,2,2,4,0,1,0
Control,0,1,1,1,1,1,1,10,1,1,5,1,0,89,3,2,2,2,1,0,0
Trash-talking,1,2,4,4,3,3.25,2,10,3,1,2,2,0,68,3,3,2,2,0,0,1
Control,0,5,1,5,5,4,5,1,2,1,2,1,1,39,5,2,5,1,1,0,0
Control,0,3,3,4,4,3.5,4,8,1,1,2,1,0,23,6,2,5,6,0,1,0
Control,0,3,2,4,2,2.75,4,6,1,1,3,2,1,60,4,2,3,1,0,1,0
Trash-talking,1,4,2,4,4,3.5,4,5,2,3,3,3,1,43,2,2,5,2,1,0,0
Control,0,3,2,2,1,2,3,6,2,1,1,3,1,23,3,3,3,1,0,0,0
Trash-talking,1,2,1,4,2,2.25,2,9,5,1,1,1,0,42,2,3,1,6,0,1,0
Control,0,1,2,3,2,2,3,10,4,3,3,4,1,43,2,3,1,3,0,0,0
Trash-talking,1,1,4,3,1,2.25,3,10,4,5,1,4,1,35,1,3,1,4,0,0,1
Control,0,3,1,3,1,2,3,5,3,3,3,3,1,48,5,1,1,5,0,1,0
Trash-talking,1,2,2,4,3,2.75,4,10,3,3,2,3,1,40,2,2,2,4,1,0,0
Control,0,2,2,5,3,3,2,7,1,3,4,2,1,21,2,3,3,4,0,0,1
Trash-talking,1,2,4,4,3,3.25,4,10,4,2,1,2,0,42,5,2,2,4,0,1,0
Trash-talking,1,3,4,4,3,3.5,3,7,4,4,3,3,0,22,3,3,4,2,0,0,0
Control,0,3,3,3,3,3,3,6,3,3,3,3,0,38,2,2,3,6,1,0,0
Trash-talking,1,3,5,3,3,3.5,4,10,3,2,3,2,0,54,5,3,2,5,1,0,0
Trash-talking,1,1,1,5,1,2,2,4,4,4,2,4,1,54,1,4,1,4,0,0,1
Trash-talking,1,2,4,4,4,3.5,4,8,3,3,3,3,0,55,2,1,2,2,0,0,1
Control,0,4,3,3,3,3.25,3,7,1,2,3,3,1,19,6,3,5,3,0,0,0
Control,0,2,2,2,2,2,4,6,2,3,1,4,0,20,3,3,3,3,0,1,0
Trash-talking,1,4,3,4,5,4,3,1,1,1,2,1,0,31,6,2,5,2,1,0,0
Trash-talking,1,5,1,5,5,4,3,10,1,2,5,5,0,24,2,1,4,3,1,0,0
Trash-talking,1,2,2,4,2,2.5,2,7,2,2,3,1,1,33,5,2,2,5,0,1,0
Control,0,5,5,5,3,4.5,3,8,1,1,3,1,0,33,5,2,5,3,1,0,0
Control,0,3,3,3,3,3,3,5,3,3,3,3,1,19,5,1,3,4,1,0,0
Control,0,2,2,4,2,2.5,2,10,2,3,4,4,1,30,2,3,2,6,0,0,1
Control,0,3,3,4,4,3.5,3,10,4,3,1,3,1,23,3,4,4,6,1,0,0
Control,0,3,5,5,3,4,5,10,3,1,3,1,1,68,4,4,5,6,1,0,0
Control,0,1,1,1,1,1,4,5,3,1,3,1,1,45,2,3,1,3,0,1,0
Control,0,3,4,3,4,3.5,4,7,2,1,3,2,0,29,1,2,4,4,1,0,0
Trash-talking,1,3,4,2,3,3,5,10,3,1,4,1,1,62,5,2,5,3,1,0,0
Trash-talking,1,3,3,3,4,3.25,2,9,2,1,3,1,0,29,5,3,5,4,1,0,0
Trash-talking,1,3,3,4,3,3.25,3,8,3,3,3,3,1,43,3,2,4,1,1,0,0
Control,0,1,1,1,5,2,2,10,1,1,1,1,0,49,2,3,3,1,0,1,0
Control,0,2,3,4,2,2.75,2,10,3,2,2,3,0,33,3,2,4,1,1,0,0
Control,0,5,5,5,5,5,5,5,3,3,3,3,1,18,6,1,5,2,1,0,0
Trash-talking,1,2,4,5,4,3.75,3,10,1,2,4,2,0,39,7,2,5,4,1,0,0
Trash-talking,1,4,3,3,4,3.5,5,8,4,3,2,3,0,26,4,2,4,6,1,0,0
Control,0,2,3,2,2,2.25,4,8,1,3,1,1,0,20,5,3,3,5,0,1,0
Control,0,1,1,2,2,1.5,2,10,1,1,1,1,1,38,1,4,4,2,0,0,1
Control,0,2,2,2,1,1.75,5,10,4,1,3,2,1,60,6,2,2,5,0,0,1
Trash-talking,1,3,3,3,2,2.75,4,10,5,4,1,3,0,39,5,2,4,5,0,0,1
Trash-talking,1,3,2,4,3,3,3,10,4,4,2,3,1,42,2,2,1,5,0,1,0
Control,0,4,2,4,4,3.5,3,10,3,3,5,2,0,48,4,1,3,6,1,0,0
Trash-talking,1,3,3,3,3,3,3,7,3,3,3,3,1,47,5,2,3,2,0,1,0
Trash-talking,1,3,3,3,3,3,3,6,1,1,1,1,1,24,6,1,3,5,0,1,0
Control,0,3,4,3,4,3.5,3,7,3,3,4,2,1,19,6,2,2,5,0,1,0
Trash-talking,1,2,5,1,1,2.25,4,10,5,3,1,3,0,53,3,1,4,3,1,0,0
Trash-talking,1,4,2,3,3,3,4,10,4,3,1,1,0,29,6,2,4,5,0,1,0
Trash-talking,1,1,2,3,1,1.75,2,7,3,3,1,2,0,30,2,1,3,1,0,1,0
Trash-talking,1,3,3,3,3,3,2,7,1,1,2,1,1,26,4,2,3,2,0,0,1
Trash-talking,1,5,1,5,5,4,3,10,5,2,2,4,1,24,2,2,5,2,1,0,0
Trash-talking,1,4,4,5,4,4.25,2,10,4,4,4,2,1,46,6,3,5,6,1,0,0
Control,0,1,3,2,1,1.75,3,2,3,3,3,3,1,66,4,2,2,1,0,0,1
Control,0,2,1,2,2,1.75,2,10,2,3,1,1,0,24,3,3,5,2,1,0,0
Control,0,4,4,3,4,3.75,4,5,1,1,3,1,0,32,5,3,5,2,1,0,0
Control,0,3,3,3,3,3,3,10,1,1,4,1,1,60,4,3,3,6,0,0,0
Control,0,2,3,3,3,2.75,3,8,1,1,2,1,0,39,5,3,4,6,0,1,0
Control,0,4,2,4,4,3.5,3,5,1,1,3,3,0,31,2,3,4,1,1,0,0
Trash-talking,1,2,2,4,2,2.5,2,8,2,2,1,2,0,58,4,2,1,6,0,1,0
Trash-talking,1,1,5,2,1,2.25,1,3,1,3,1,4,1,19,2,4,1,3,0,0,1
Control,0,2,3,2,2,2.25,2,7,1,1,3,1,0,35,6,2,5,6,1,0,0
Trash-talking,1,1,3,3,3,2.5,3,1,1,1,1,1,0,46,6,2,5,5,1,0,0
Trash-talking,1,2,3,2,2,2.25,3,8,3,1,2,3,1,69,4,2,2,3,0,0,1
Control,0,3,3,4,5,3.75,4,7,3,2,4,3,1,23,2,4,4,4,1,0,0
Trash-talking,1,3,2,4,3,3,4,9,2,1,3,2,0,23,4,2,5,3,1,0,0
Trash-talking,1,5,5,5,5,5,5,10,5,4,1,4,1,55,5,4,5,5,0,1,0
Trash-talking,1,3,2,5,5,3.75,5,10,3,2,3,2,1,35,3,1,3,4,1,0,0
Trash-talking,1,2,4,5,3,3.5,2,5,4,2,3,3,1,41,5,3,4,3,1,0,0
Control,0,3,3,3,3,3,3,6,3,3,3,3,1,38,5,1,3,1,1,0,0
Control,0,1,4,4,3,3,4,10,4,3,2,4,0,22,3,3,3,2,0,0,1
Control,0,4,2,4,4,3.5,4,8,1,1,1,2,1,44,5,3,5,3,1,0,0
Trash-talking,1,3,3,4,4,3.5,3,8,3,4,2,4,0,32,6,2,3,6,0,0,1
Trash-talking,1,1,5,1,2,2.25,4,6,3,3,5,4,1,54,2,3,2,4,0,0,1
Control,0,1,1,1,1,1,1,10,4,2,4,1,0,60,2,3,1,3,0,0,1
Trash-talking,1,5,5,5,5,5,3,10,4,1,2,1,0,66,5,2,5,5,1,0,0
Trash-talking,1,2,2,4,2,2.5,2,7,2,2,3,2,0,73,2,3,2,2,0,0,1
Control,0,4,2,4,4,3.5,4,7,3,4,3,3,1,21,3,1,4,1,0,1,0
Control,0,3,3,3,3,3,3,6,2,2,3,2,0,24,6,2,3,5,0,1,0
Control,0,3,3,3,3,3,3,9,1,1,2,1,0,40,5,1,3,3,0,1,0
Control,0,4,4,4,5,4.25,5,10,3,1,3,1,0,64,3,3,5,2,1,0,0
Control,0,4,2,5,2,3.25,2,9,3,4,2,4,0,47,6,1,2,4,0,0,0
Control,0,2,2,4,3,2.75,2,10,2,1,1,2,0,22,3,2,3,3,0,1,0
Control,0,4,3,3,4,3.5,3,9,4,1,2,1,0,21,6,1,4,6,1,0,0
Trash-talking,1,4,3,3,4,3.5,3,6,2,2,4,3,1,34,5,3,3,5,1,0,0
Control,0,3,4,3,5,3.75,1,5,1,1,5,1,0,27,6,3,5,4,1,0,0
Trash-talking,1,3,3,3,3,3,3,6,3,3,3,3,1,41,2,2,4,1,0,1,0
Trash-talking,1,2,4,4,3,3.25,2,7,1,2,1,3,1,20,3,1,4,6,1,0,0
Control,0,3,1,5,4,3.25,4,10,3,1,2,1,1,20,3,2,2,4,1,0,0
Trash-talking,1,4,4,3,4,3.75,4,10,3,1,2,1,0,23,5,2,4,3,1,0,0
Trash-talking,1,3,3,2,3,2.75,3,10,5,4,4,4,1,45,6,2,3,5,0,1,0
Trash-talking,1,1,2,1,1,1.25,1,3,5,3,1,3,1,68,1,4,1,2,0,0,1
Control,0,2,3,4,2,2.75,3,5,2,1,3,1,1,24,1,2,2,2,0,1,0
Trash-talking,1,2,5,3,4,3.5,4,8,4,4,1,2,0,28,1,3,5,6,1,0,0
Trash-talking,1,1,1,5,1,2,3,10,5,1,1,1,1,45,2,1,2,5,0,1,0
Trash-talking,1,5,4,5,5,4.75,4,7,3,3,2,1,0,50,5,2,5,6,1,0,0
Trash-talking,1,3,3,4,3,3.25,4,10,5,1,5,1,0,39,5,1,5,2,0,1,0
Control,0,3,2,2,2,2.25,4,6,4,4,2,3,1,24,3,3,4,3,1,0,0
Control,0,2,4,3,5,3.5,4,10,3,3,3,3,1,25,2,3,4,4,1,0,0
Control,0,4,4,3,3,3.5,3,7,1,1,1,1,1,22,3,3,4,4,1,0,0
Control,0,2,3,4,4,3.25,3,10,1,1,2,1,1,31,4,3,5,2,1,0,0
Trash-talking,1,5,4,5,5,4.75,4,10,4,2,1,2,1,66,4,3,5,2,1,0,0
Control,0,2,4,4,3,3.25,3,5,4,4,5,1,0,27,6,3,3,2,1,0,0
Trash-talking,1,3,4,3,2,3,3,5,3,3,3,3,0,52,4,2,1,2,0,1,0
Trash-talking,1,4,4,4,4,4,2,3,2,1,3,1,1,21,3,2,4,2,1,0,0
Trash-talking,1,3,4,4,4,3.75,4,10,4,3,2,3,0,47,4,3,5,3,1,0,0
Control,0,4,4,4,4,4,3,10,1,2,2,2,1,45,3,3,4,6,1,0,0
Control,0,5,4,5,5,4.75,5,10,3,2,5,3,1,31,4,4,3,3,1,0,0
Control,0,3,3,4,3,3.25,5,5,5,1,2,3,0,29,5,2,3,5,0,1,0
Trash-talking,1,5,4,5,4,4.5,3,10,5,1,2,2,0,41,5,3,5,5,1,0,0
Trash-talking,1,2,2,5,3,3,3,9,4,3,2,1,0,40,2,3,4,4,1,0,0
Control,0,4,4,4,4,4,3,8,4,4,4,4,1,44,1,4,4,4,1,0,0
Trash-talking,1,3,3,4,2,3,3,7,2,4,2,3,0,25,5,2,4,4,1,0,0
Control,0,3,3,3,3,3,4,10,3,3,3,3,0,18,6,2,3,6,1,0,0
Trash-talking,1,3,5,4,4,4,5,10,5,5,3,4,1,20,4,3,5,3,1,0,0
Control,0,4,4,4,5,4.25,4,10,3,2,4,4,1,41,3,4,4,4,1,0,0
Trash-talking,1,5,4,5,4,4.5,3,7,3,2,1,2,0,47,4,2,4,5,1,0,0
Control,0,2,3,4,2,2.75,3,10,2,1,4,3,1,27,5,2,5,3,1,0,0
Trash-talking,1,3,3,3,3,3,3,8,3,1,3,2,0,62,5,2,5,1,0,1,0
Control,0,2,4,5,2,3.25,3,10,4,3,4,3,0,44,5,2,3,5,0,1,0
Trash-talking,1,3,4,4,3,3.5,5,8,4,1,1,1,0,25,2,2,2,2,0,0,0
Control,0,3,3,3,3,3,5,10,3,1,5,2,1,40,3,3,5,2,1,0,0
Control,0,2,2,3,3,2.5,5,7,3,1,1,1,0,65,4,2,4,6,0,0,0
Control,0,3,3,3,3,3,4,5,3,3,3,3,0,45,5,3,3,4,1,0,0
Control,0,1,3,5,2,2.75,4,8,2,1,3,2,1,70,3,3,2,6,0,1,0
Control,0,2,4,3,4,3.25,4,9,2,3,3,2,0,20,2,3,4,5,1,0,0
Control,0,2,4,3,2,2.75,4,5,1,1,3,1,1,18,4,2,3,1,1,0,0
Trash-talking,1,3,3,3,3,3,3,5,3,3,3,3,0,21,3,1,3,1,0,1,0
Control,0,4,1,4,3,3,4,10,4,1,4,1,0,58,3,4,2,6,1,0,0
Control,0,3,3,4,3,3.25,4,10,4,2,1,1,0,21,4,2,3,6,0,0,1
Control,0,5,5,5,5,5,5,10,4,1,2,1,1,51,5,2,4,6,1,0,0
Trash-talking,1,4,4,5,5,4.5,3,10,4,1,2,3,0,53,5,3,5,6,1,0,0
Trash-talking,1,1,2,4,1,2,1,10,4,3,1,3,0,56,1,4,1,5,0,0,1
Control,0,2,3,3,2,2.5,3,6,3,1,2,1,0,22,4,2,4,2,0,1,0
Trash-talking,1,2,5,5,5,4.25,2,10,4,5,2,5,1,23,4,4,3,4,0,0,0
Trash-talking,1,4,2,2,2,2.5,3,5,2,1,2,1,0,22,6,1,3,2,0,1,0
Trash-talking,1,1,2,1,1,1.25,1,5,1,1,1,1,0,24,2,4,1,2,0,0,1
Trash-talking,1,2,2,2,2,2,2,10,4,5,1,4,0,48,2,2,4,3,1,0,0
Control,0,3,2,4,5,3.5,3,7,1,1,4,1,1,34,5,3,5,4,1,0,0
Trash-talking,1,1,3,5,1,2.5,5,10,3,5,1,4,1,28,4,4,2,3,0,1,0
Control,0,3,4,3,3,3.25,4,10,1,2,2,1,0,22,2,3,5,2,1,0,0
Trash-talking,1,3,5,3,5,4,1,1,3,3,3,3,0,55,3,1,3,1,0,0,1
Control,0,1,5,1,1,2,3,1,1,1,1,1,1,49,5,1,1,6,0,1,0
Control,0,1,3,3,1,2,2,8,3,2,1,5,1,42,5,1,1,5,0,0,1
Trash-talking,1,1,1,2,1,1.25,3,4,4,1,4,1,1,69,1,4,2,2,0,0,1
Control,0,1,3,1,1,1.5,4,10,4,3,5,3,1,27,5,3,1,4,0,1,0
Trash-talking,1,4,3,3,3,3.25,4,6,1,3,4,3,1,35,1,2,4,4,1,0,0
Trash-talking,1,1,2,3,1,1.75,1,6,5,1,1,1,1,44,5,2,1,5,0,1,0
Trash-talking,1,2,5,5,5,4.25,5,10,5,3,2,4,0,46,1,3,4,6,0,1,0
Control,0,3,2,3,4,3,4,5,1,2,4,3,0,48,1,3,4,3,0,0,0
Control,0,3,4,4,4,3.75,4,8,1,1,2,1,1,27,3,4,4,3,1,0,0
Control,0,3,4,5,4,4,5,10,1,1,1,1,1,50,2,2,4,6,1,0,0
Trash-talking,1,2,3,3,2,2.5,3,8,4,3,2,1,0,24,3,2,2,3,0,0,1
Trash-talking,1,5,5,5,2,4.25,5,10,3,1,4,3,1,67,5,2,5,5,1,0,0
Control,0,2,4,4,2,3,2,10,3,1,3,3,0,60,5,3,1,5,0,1,0
Trash-talking,1,1,2,3,3,2.25,3,8,3,2,2,1,0,22,3,2,2,2,0,0,1
Control,0,1,1,1,1,1,1,3,1,1,1,2,1,77,1,3,1,2,0,0,1
Control,0,3,4,5,4,4,3,10,4,1,3,3,0,30,5,3,4,6,1,0,0
Control,0,3,4,4,3,3.5,3,8,3,2,3,3,1,39,5,3,4,2,1,0,0
Control,0,1,1,4,1,1.75,3,10,5,3,1,3,1,52,3,4,1,3,0,0,0
Control,0,3,4,2,4,3.25,3,7,3,2,4,3,1,31,4,2,4,4,0,0,1
Trash-talking,1,3,3,3,3,3,3,6,4,4,1,4,0,18,2,2,3,3,0,0,1
Trash-talking,1,2,4,2,2,2.5,2,10,4,4,5,3,0,65,2,3,4,2,1,0,0
Trash-talking,1,2,4,3,2,2.75,3,5,3,3,3,3,0,57,2,1,3,2,0,0,1
Trash-talking,1,5,4,5,5,4.75,5,10,4,3,3,4,1,68,3,3,5,3,1,0,0
Control,0,3,3,3,3,3,5,5,3,3,3,3,0,26,6,2,4,1,0,1,0
Control,0,3,2,3,3,2.75,4,5,1,1,1,1,0,21,2,2,4,4,1,0,0
Trash-talking,1,2,3,2,2,2.25,5,10,5,1,4,1,0,41,5,3,5,5,1,0,0
Trash-talking,1,5,3,5,5,4.5,1,10,1,1,1,1,1,42,5,4,1,5,0,0,1
Control,0,4,3,2,4,3.25,4,10,2,1,2,3,0,19,5,2,3,2,1,0,0
Trash-talking,1,3,5,4,5,4.25,3,10,4,3,4,1,0,52,3,3,4,3,0,0,1
Control,0,1,3,4,1,2.25,5,10,5,1,5,2,0,20,5,3,5,6,1,0,0
Control,0,4,4,2,4,3.5,4,7,1,1,4,1,0,20,3,3,4,4,1,0,0
Trash-talking,1,3,3,5,3,3.5,5,7,4,3,1,2,0,18,5,3,3,6,1,0,0
Control,0,5,3,4,5,4.25,5,7,3,2,2,3,1,30,1,3,4,2,1,0,0
Control,0,4,3,3,3,3.25,4,7,3,2,3,1,1,46,3,2,3,3,0,1,0
Control,0,5,1,4,4,3.5,5,10,4,4,4,4,0,24,3,4,4,2,1,0,0
Control,0,3,2,4,4,3.25,3,4,3,2,3,3,1,30,6,2,4,2,0,1,0
Trash-talking,1,1,1,5,1,2,1,3,5,5,1,5,1,62,2,4,1,3,0,1,0
Trash-talking,1,5,3,5,5,4.5,3,10,4,1,4,4,0,23,4,2,2,2,0,0,0
Control,0,5,4,3,5,4.25,3,10,4,1,3,2,0,24,3,3,4,3,1,0,0
Trash-talking,1,5,2,4,5,4,1,9,2,1,5,3,1,23,3,4,2,2,0,0,1
Trash-talking,1,1,1,4,1,1.75,2,6,4,2,2,3,1,51,4,3,1,3,0,0,0
Trash-talking,1,3,3,4,2,3,3,6,3,2,1,2,1,50,3,2,3,6,0,1,0
Control,0,1,3,2,1,1.75,3,10,1,1,1,1,0,34,2,2,2,6,0,1,0
Trash-talking,1,4,2,2,4,3,4,6,2,2,2,2,0,33,6,2,3,3,0,0,1
Trash-talking,1,2,5,4,4,3.75,3,4,1,1,5,1,1,56,6,2,5,2,1,0,0
Trash-talking,1,3,3,3,3,3,3,6,4,3,4,2,0,35,6,2,3,5,0,1,0
Trash-talking,1,4,3,4,4,3.75,3,5,4,3,2,1,1,31,6,4,4,6,0,0,0
Control,0,1,2,2,1,1.5,2,10,2,1,2,2,0,19,3,3,1,3,0,0,1
Trash-talking,1,3,5,2,2,3,4,10,4,3,1,4,0,27,1,4,2,4,0,1,0
Control,0,1,1,1,1,1,1,9,3,4,1,5,1,62,2,2,1,6,0,1,0
Control,0,3,3,3,3,3,2,5,1,3,2,3,0,24,6,2,4,2,0,0,1
Control,0,4,3,5,5,4.25,2,10,5,1,2,1,1,34,5,3,4,6,0,1,0
Trash-talking,1,3,5,4,4,4,4,9,4,4,4,3,1,45,5,3,5,4,0,1,0
Trash-talking,1,5,3,4,5,4.25,3,10,1,5,1,5,1,69,5,2,3,1,1,0,0
Trash-talking,1,4,3,4,3,3.5,4,10,4,1,1,2,0,39,5,2,3,6,0,1,0
Control,0,1,1,1,1,1,2,7,2,1,3,4,0,22,2,3,2,3,0,0,0
Control,0,1,1,5,1,2,4,10,1,1,3,2,1,44,1,2,2,3,0,1,0
Trash-talking,1,1,1,3,1,1.5,4,10,1,1,1,2,0,24,2,4,1,4,0,0,1
Control,0,2,3,4,5,3.5,2,9,1,2,3,2,0,24,2,2,4,1,1,0,0
Control,0,3,5,3,5,4,5,7,1,1,2,1,1,23,3,2,5,2,1,0,0
Control,0,1,1,3,1,1.5,3,7,1,1,3,1,0,22,5,3,1,4,0,1,0
