treatment,treatment_binary,fire_judges,disobey_justice_2,overthrow_institutions,power_institutions,anti_democratic_index,strong_leader,check_corruption,angry,scared,optimistic,nervous,male,age,socioeconomic_level,political_interest,pres_approval,region,morena,nonpartisan,otherpartisan
Trash-talking,1,1,3,4,2,2.5,5,10,1,1,1,1,1,23,5,4,2,2,0,1,0
Control,0,5,5,4,5,4.75,4,6,3,3,3,3,0,24,5,2,5,4,1,0,0
Trash-talking,1,2,2,1,2,1.75,5,7,1,1,4,2,0,23,6,3,3,4,1,0,0
Trash-talking,1,5,3,5,4,4.25,4,10,4,3,4,1,1,36,4,3,4,3,0,0,0
Trash-talking,1,3,3,3,3,3,5,10,4,4,4,4,1,35,5,3,5,5,1,0,0
Trash-talking,1,2,4,5,5,4,3,9,4,1,2,3,0,46,5,3,5,5,1,0,0
Control,0,3,3,5,5,4,5,5,1,1,5,1,0,59,3,3,5,3,1,0,0
Control,0,3,3,3,2,2.75,2,5,3,5,2,4,1,34,6,2,2,5,0,1,0
Control,0,3,2,4,4,3.25,4,10,2,1,4,3,0,60,2,2,3,3,0,1,0
Control,0,2,4,4,4,3.5,4,6,1,1,1,2,1,18,3,3,4,3,1,0,0
Control,0,3,4,4,4,3.75,3,10,5,3,3,1,1,45,1,3,2,6,0,1,0
Trash-talking,1,4,2,4,4,3.5,4,8,5,1,2,1,0,47,1,3,4,2,0,0,1
Trash-talking,1,4,4,4,4,4,5,8,4,4,1,3,0,23,4,3,4,5,1,0,0
Trash-talking,1,4,4,4,3,3.75,3,10,3,2,2,1,1,24,4,3,5,6,1,0,0
Trash-talking,1,1,2,3,2,2,2,10,4,4,1,4,0,55,6,1,1,5,0,1,0
Trash-talking,1,3,2,5,4,3.5,1,10,3,4,1,4,1,34,3,1,3,1,1,0,0
Trash-talking,1,1,1,3,1,1.5,5,7,5,4,1,4,1,69,4,2,1,4,0,1,0
Trash-talking,1,2,2,2,2,2,2,8,3,3,3,1,0,42,2,1,3,1,0,1,0
Control,0,1,1,1,1,1,1,10,5,1,5,1,0,56,5,3,1,5,0,0,1
Trash-talking,1,3,3,4,3,3.25,1,6,4,4,2,4,1,23,5,3,5,5,1,0,0
Control,0,2,4,3,4,3.25,3,6,3,3,3,3,0,22,3,2,3,4,1,0,0
Control,0,1,5,5,5,4,2,5,1,1,4,1,0,20,4,3,5,2,0,0,1
Trash-talking,1,3,4,3,4,3.5,4,10,4,1,1,1,0,30,6,3,4,4,1,0,0
Control,0,1,1,1,1,1,1,3,1,1,5,1,1,69,2,4,1,3,0,0,1
Control,0,2,1,5,3,2.75,3,10,5,1,1,1,0,22,2,3,5,3,0,1,0
Control,0,1,1,1,1,1,3,10,3,3,1,4,1,61,2,3,1,6,0,1,0
Control,0,4,2,2,4,3,3,10,4,1,2,1,1,36,2,3,5,1,1,0,0
Trash-talking,1,2,2,2,2,2,5,8,1,2,1,3,0,21,5,2,4,5,1,0,0
