stateabb,ccode,year,region,trust_military,trust_military_l1,trust_military_mod,trust_police,trust_police_z,trust_judiciary,trust_judiciary_z,gov_corrupt,gov_corrupt_z,gov_conf,lead_approve,trust_financial_inst,living_std_improve,military_dim,military_dim_z_mavg2,military_dim_mavg2,military_rule,military_leader,conscript,conscript_time,spend_soldier_ln,spend_soldier_z_ln,spend_soldier_z_ln_mavg2,personnel_pc_ln,appointment_fa,crisis_current,crisis_lag1,crisis_lag2,crisis_time,crisis_time_z,crisis_victory,crisis_tie,crisis_window2,crisis_window5,civwar,democracy_lib,polity,jud_corrupt,jud_high_ind,jud_low_ind,ideology_election,gdp_pc_ln,gdp_growth,population_ln,life_expectancy,hrights
LBR,450,2019,4,0.61,0.670000016689301,0.656132876873016,0.53,-0.633307218551636,0.52,0.243319451808929,0.77,0.559562802314758,0.55,0.33,0.49,0.37,0.3,0.510634660720825,0.254666656255722,0,0,0,69,,,,,-0.264,0,0,0,,,0,0,0,0,,0.44200000166893,,-1.788,0.842,1.053,,0.172271221876144,-0.00899999961256981,6.24024248123169,66.1,0.800000011920929
SIE,451,2006,4,0.61,,0.656132876873016,0.68,0.320794850587845,0.48,0.018570814281702,0.81,0.768719613552094,0.54,,0.62,0.39,0.1,-0.226194024085999,0.0943333357572556,0,0,0,56,7.60093832015991,-1.66872918605804,0.119885191321373,-3.71449685096741,-0.204,0,0,0,15,-0.509156703948975,1,0,0,0,0,,5,-1.076,-0.663,0.663,,0.200488865375519,0.0209999997168779,6.35355424880981,53.7,0.5
SIE,451,2007,4,0.71,0.610000014305115,0.711338341236115,0.65,0.129974275827408,0.52,0.243319451808929,0.8,0.716430485248566,0.56,0.56,0.62,0.46,0.1,-0.200152263045311,0.100000001490116,0,0,0,57,7.79017877578735,-1.54526972770691,0.150051563978195,-3.89623236656189,-0.204,0,0,0,16,-0.460783004760742,1,0,0,0,0,0.358999997377396,7,-1.076,-0.663,0.663,,0.235072121024132,0.0430000014603138,6.38113880157471,54.1,0.600000023841858
SIE,451,2008,4,0.77,0.709999978542328,0.740110814571381,0.66,0.193581387400627,0.59,0.636629581451416,0.86,1.03016555309296,0.69,0.64,0.64,0.13,0.1,-0.200152263045311,0.100000001490116,0,0,0,58,7.06197738647461,-2.02034425735474,0.105970695614815,-3.91928339004517,-0.588,0,0,0,17,-0.41240930557251,1,0,0,0,0,0.34799998998642,7,-1.076,-0.663,0.663,,0.260824620723724,0.0329999998211861,6.40419006347656,54.7,0.699999988079071
SIE,451,2010,4,0.78,,0.744619309902191,0.52,-0.696913957595825,0.48,0.018570814281702,0.86,1.03016555309296,0.65,0.69,0.68,0.27,0.1,-0.200152263045311,0.100000001490116,0,0,0,60,6.98787498474121,-2.06868839263916,-0.0653284937143326,-3.96142411231995,-0.588,0,0,0,19,-0.315661936998367,1,0,0,0,0,,7,-1.076,-0.663,0.663,,0.31990721821785,0.0399999991059303,6.44633054733276,56,0.699999988079071
SIE,451,2011,4,0.78,0.779999971389771,0.744619309902191,0.48,-0.951341092586517,0.44,-0.206177815794945,0.83,0.873297870159149,0.58,0.63,0.66,0.3,0.1,-0.200152263045311,0.100000001490116,0,0,0,61,6.98787498474121,-2.06868839263916,-0.0738169029355049,-3.98092842102051,-0.588,0,0,0,20,-0.267288237810135,1,0,0,0,0,0.328000009059906,7,-1.076,-0.663,0.663,,0.375692963600159,0.0790000036358833,6.4658350944519,56.6,0.800000011920929
SIE,451,2013,4,0.72,,0.716345965862274,0.47,-1.01494777202606,0.36,-0.655675053596497,0.77,0.559562802314758,0.56,0.57,0.54,0.34,0.167,-0.0975170880556107,0.122333332896233,0,0,0,63,7.06197738647461,-2.02034425735474,-0.0476717948913574,-4.04892730712891,-0.844,0,0,0,22,-0.17054083943367,1,0,0,0,0,,7,-1.057,-1.086,0.324,,0.581656813621521,0.17399999499321,6.5338339805603,58.2,0.699999988079071
SIE,451,2014,4,0.68,0.72000002861023,0.695778727531433,0.64,0.066367544233799,0.38,-0.543300867080689,0.72,0.298117130994797,0.59,0.52,0.58,0.51,0.167,0.00511812651529908,0.14466667175293,0,0,0,64,7.13096570968628,-1.97533679008484,-0.0312807932496071,-4.0750584602356,-0.844,0,0,0,23,-0.122167147696018,1,0,0,0,0,0.314999997615814,7,-1.057,-1.086,0.324,,0.58221560716629,0.00100000004749745,6.55996513366699,57.1,0.899999976158142
SIE,451,2015,4,0.77,0.680000007152557,0.740110814571381,0.61,-0.124452643096447,0.54,0.355694025754929,0.69,0.141249448060989,0.65,0.45,0.61,0.38,0.167,0.107753269374371,0.166999995708466,0,0,0,65,6.98787498474121,-2.06868839263916,-0.0397692024707794,-4.08699703216553,-0.844,0,0,0,24,-0.0737934559583664,1,0,0,0,0,0.314999997615814,7,-1.057,-1.086,0.324,,0.476234167814255,-0.180000007152557,6.57190322875977,58.7,0.899999976158142
SIE,451,2016,4,0.77,0.769999980926514,0.740110814571381,0.62,-0.0608459152281284,0.49,0.0747580975294113,0.77,0.559562802314758,0.7,0.49,0.61,0.39,0.167,0.107753269374371,0.166999995708466,0,0,0,66,7.24429893493652,-1.90139877796173,-0.0188841875642538,-4.29344797134399,-0.844,0,0,0,25,-0.0254197604954243,1,0,0,0,0,0.314999997615814,7,-1.057,-1.086,0.324,,0.464362740516663,-0.0189999993890524,6.59603309631348,60,0.800000011920929
SIE,451,2017,4,0.79,0.769999980926514,0.749049603939056,0.61,-0.124452643096447,0.49,0.0747580975294113,0.72,0.298117130994797,0.74,0.51,0.6,0.36,0.2,0.15830497443676,0.178000003099442,0,0,0,67,,,-0.0205885544419289,,-0.844,0,0,0,26,0.0229539349675179,1,0,0,0,0,0.312000006437302,7,-1.13,-1.086,0.802,,0.484276294708252,0.0320000015199184,6.61949682235718,60.2,0.600000023841858
SIE,451,2018,4,0.82,0.790000021457672,0.76188462972641,0.63,0.0027608135715127,0.53,0.299506574869156,0.71,0.245827704668045,0.78,0.57,0.72,0.35,0.1,0.0556697510182858,0.155666664242744,0,0,0,68,,,0.0234716664999723,,-0.64,0,0,0,,,0,0,0,0,0,0.337999999523163,7,-1.284,-1.076,0.693,,0.505612075328827,0.0350000001490116,6.6483588218689,61.2,0.600000023841858
SIE,451,2019,4,0.86,0.819999992847443,0.777982711791992,0.66,0.193581387400627,0.59,0.636629581451416,0.74,0.402695387601852,0.82,0.59,0.71,0.38,0.125,-0.00866871792823076,0.141666665673256,0,1,0,69,,,,,-1.226,0,0,0,,,0,0,0,0,,0.375,,-1.311,-0.982,0.779,,0.514618396759033,0.0149999996647239,6.67677211761475,61.8,0.600000023841858
SIE,451,2021,4,0.78,,0.744619309902191,0.64,0.066367544233799,0.53,0.299506574869156,0.68,0.0889603272080421,0.75,0.48,0.66,0.39,0.125,-0.0852621346712112,0.125,0,,0,71,,,,,-0.624,0,0,0,,,0,0,0,0,,,,-0.517,-0.04,0.977,,,,,62.6,
GHA,452,2006,4,0.84,,0.770074486732483,0.63,0.0027608135715127,0.57,0.524255335330963,0.72,0.298117130994797,0.64,,0.67,0.52,0.158,0.207324773073196,0.188666671514511,0,0,0,56,9.24716663360596,-0.594738721847534,0.643612086772919,-5.69263648986816,-0.181,0,0,0,15,-0.509156703948975,0,1,0,0,0,,8,-1.239,1.656,1.062,,1.18906223773956,0.0930000022053719,7.77207803726196,60.3,0.400000005960465
GHA,452,2007,4,0.84,0.839999973773956,0.770074486732483,0.69,0.384401559829712,0.69,1.19850146770477,0.66,-0.0156179303303361,0.72,0.72,0.68,0.53,0.158,0.0663928762078285,0.158000007271767,0,0,0,57,8.84410572052002,-0.857693493366242,0.655496597290039,-5.09232664108276,-0.181,0,0,0,16,-0.460783004760742,0,1,0,0,0,0.635999977588654,8,-1.239,1.326,1.062,,1.22495126724243,0.119999997317791,7.80037689208984,60.5,0.400000005960465
